Gene	DPKM	RPKM		Gene	DPKM	RPKM
aaeA	13.09051	10.91132		aaeA	56.3923268314296	35.43301309465
aaeB	12.41203	6.36664		aaeB	17.8231845981449	10.6720735400955
aaeR	78.7964	74.97525		aaeR	56.5742375631439	31.6251357292199
aas	79.1612	66.22973		aaeX	171.941310240928	136.644775134738
aat	69.29613	70.20106		aas	113.67231065928	131.364272269491
abgB	8.44636	9.94306		aat	248.766150986874	214.691119181275
abgT	23.99497	27.71354		abgR	38.5874887669409	64.0356607437556
abrB	58.32589	48.018		accA	1004.78203172042	1060.57096312351
accA	750.6178	867.21495		accB	2457.556052106	2507.48233413276
accB	1996.67737	2246.3419		accC	1935.67706151231	1786.07059701857
accC	1519.89502	1462.66325		accD	1073.36476950402	1077.43939282143
accD	921.01367	891.61827		aceA	107.512727323063	111.010196281527
aceA	65.51272	44.40551		aceB	120.423314663122	130.072020606017
aceB	91.48646	89.41582		aceE	757.083922344625	810.150942939851
aceE	669.35531	697.29754		aceF	898.672648454167	819.278052443057
aceF	638.73786	621.06686		ackA	568.564033365262	568.440311996107
aceK	49.2194	37.97819		acnA	157.291602193494	170.156497309964
ackA	487.31939	551.67021		acnB	3577.80878815417	3525.91925684788
acnA	127.79386	139.42409		acpH	150.670220314215	183.997578127953
acnB	2961.6892	2813.51953		acpP	10730.0083479465	11469.0790964138
acpH	83.94118	74.48843		acpS	138.094595626572	145.018161606954
acpP	9894.43412	10035.27565		acpT	119.306215269215	116.16764868724
acpS	96.16884	71.0337		acrA	528.784330992199	550.568521898632
acpT	62.31348	72.87599		acrB	417.571753442253	376.939532711703
acrA	358.01547	384.09805		acrD	5.63198896742923	4.48817055756599
acrB	337.32364	318.91698		acrE	15.1450895030869	29.2446617618045
acrD	7.84421	6.12596		acrF	16.9449407193958	20.9354321776548
acrR	75.39162	47.71093		acrR	27.0648358712571	21.5088997897273
acs	149.62869	140.70966		acs	214.860810347009	208.30691483042
actP	81.42295	66.74836		actP	85.0327934282406	75.3493442731459
add	572.88601	508.091		ada	49.4028553368299	60.5323682407299
ade	27.64786	9.35994		add	577.599251767427	619.356683468552
adhE	287.53619	279.78461		ade	29.7759145069179	30.6603452754771
adhP	24.16111	48.39557		adhE	314.583204386989	333.956697435654
adiA	5.38512	1.45018		adiA	23.1984307467918	34.7054266579622
adiC	9.12813	5.40794		adk	1740.20600504306	1590.25139061156
adk	1761.00793	1442.21018		adrA	47.1451979692866	28.7626343229198
aegA	12.33681	7.18235		aegA	17.7151652975501	15.7074760297633
aer	56.20914	42.93906		aer	23.0611619258049	35.5182418748844
aes	50.88934	27.53892		aes	36.5375284261971	41.3957441201053
agaD	15.42101	13.72398		agaD	22.1439566219376	18.5677880228375
agaR	15.07832	4.94995		agaR	64.9556060910171	58.7317395911231
agp	29.50107	26.07802		agaV	37.0000287860224	23.2482427688526
