EG10260	b0595	entB	EntB monomer	P0ADI4	#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	626917	627774	entG				enterochelin (enterobactin)	Non-ribosomal peptide synthetase	membrane	cytoplasm
EG10264	b0586	entF	aryl carrier protein / serine activating enzyme		#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	613380	617261					enterochelin (enterobactin)	Coenzyme A and its modification	Non-ribosomal peptide synthetase	Fe aquisition
EG30070	b3855	rrfA	5S ribosomal RNA (rrfA)		#<TU0-14533 instance frame in ECOBASE[F] @ #x1025686bc2>	4038540	4038659					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30071	b3971	rrfB	rrfB 5S ribosomal RNA		#<TU0-14528 instance frame in ECOBASE[F] @ #x1025686f82>	4169660	4169779					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30072	b3759	rrfC	rrfC 5S ribosomal RNA		#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	3944723	3944842					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30073	b3274	rrfD	rrfD 5S ribosomal RNA		#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	3421809	3421690					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30074	b4010	rrfE	rrfE 5S ribosomal RNA		#<TU0-14530 instance frame in ECOBASE[F] @ #x1025686e02>	4211063	4211182					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30075	b2588	rrfG	rrfG 5S ribosomal RNA		#<TU0-14510 instance frame in ECOBASE[F] @ #x1025687ac2>	2724210	2724091					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30076	b0205	rrfH	rrfH 5S ribosomal RNA		#<TU0-14524 instance frame in ECOBASE[F] @ #x10256871c2>	228756	228875					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30077	b3854	rrlA	23S ribosomal RNA (rrlA)		#<TU0-14533 instance frame in ECOBASE[F] @ #x1025686bc2>	4035542	4038446					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30078	b3970	rrlB	rrlB 23S ribosomal RNA		#<TU0-14528 instance frame in ECOBASE[F] @ #x1025686f82>	4166664	4169567					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30079	b3758	rrlC	rrlC 23S ribosomal RNA		#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	3941727	3944630					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30080	b3275	rrlD	rrlD 23S ribosomal RNA		#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	3424805	3421902					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30081	b4009	rrlE	rrlE 23S ribosomal RNA		#<TU0-14530 instance frame in ECOBASE[F] @ #x1025686e02>	4208066	4210969					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30082	b2589	rrlG	rrlG 23S ribosomal RNA		#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	2727206	2724303					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30083	b0204	rrlH	rrlH 23S ribosomal RNA		#<TU0-14524 instance frame in ECOBASE[F] @ #x10256871c2>	225759	228662					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30084	b3851	rrsA	16S ribosomal RNA (rrsA)		#<TU0-14486 instance frame in ECOBASE[F] @ #x1025688842>	4033554	4035095					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30085	b3968	rrsB	rrsB 16S ribosomal RNA		#<TU0-3364 instance frame in ECOBASE[F] @ #x102567a502>	4164682	4166223					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30086	b3756	rrsC	rrsC 16S ribosomal RNA		#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	3939831	3941372					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30087	b3278	rrsD	rrsD 16S ribosomal RNA		#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	3426784	3425243					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30088	b4007	rrsE	rrsE 16S ribosomal RNA		#<TU0-14487 instance frame in ECOBASE[F] @ #x1025688782>	4206170	4207711					rRNA, stable RNA	translation	ribosomes	cytoplasm
EG30089	b2591	rrsG	rrsG 16S ribosomal RNA		#<COLI-K12 instance frame in ECOBASE[F] @ #x1025685b22>	2729179	2727638					rRNA, stable RNA	translation	ribosomes	cytoplasm
