talB 	b0008 	−1.9 	−2.0 	Transaldolase
dnaK 	b0014 	−3.5 	−3.1 	Hsp70 chaperone; DNA biosynthesis; autoregulated heat shock proteins
dnaJ 	b0015 	−2.4 	−2.3 	Heat shock protein; chaperone with DnaK
acnB 	b0118 	−1.9 	−1.7 	Aconitate hydrase B (TCA cycle)
betA 	b0311 	−1.7 	−2.6 	Choline dehydrogenase, a flavoprotein
betB 	b0312 	−2.5 	−3.2 	NAD+-dependent betaine aldehyde dehydrogenase
betI 	b0313 	−4.4 	−4.3 	Probably transcriptional repressor of bet genes
bolA 	b0435 	−2.8 	−2.8 	Transcription regulator of penicillin binding proteins, β-lactamase, and possibly, of murein genes; osmotic stress-induced morphogen
clpP 	b0437 	−2.0 	−2.3 	ATP-dependent proteolytic subunit of clpA-clpP and clpX-clpP serine protease, heat shock protein
clpX 	b0438 	−2.4 	−2.1 	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease
lon 	b0439 	−2.1 	−2.8 	DNA-binding, ATP-dependent protease La; heat shock K protein
sucA 	b0726 	−4.1 	−3.7 	2-Oxoglutarate dehydrogenase (decarboxylase component)
sucB 	b0727 	−2.9 	−4.1 	2-Oxoglutarate dehydrogenase (dihydrolipoyltranssuccinase E2 component)
sucC 	b0728 	−3.1 	−4.4 	Succinyl-CoA synthetase, beta subunit
sucD 	b0729 	−2.4 	−3.7 	Succinyl-CoA synthetase, alpha subunit
gpmA 	b0755 	−1.9 	−3.2 	Phosphoglyceromutase 1
galM 	b0756 	−2.0 	−1.9 	Galactose-1-epimerase (mutarotase)
galK 	b0757 	−1.9 	−2.9 	Galactokinase
galT 	b0758 	−1.9 	−2.8 	Galactose-1-phosphate uridylyltransferase
galE 	b0759 	−1.7 	−2.6 	UDP-galactose-4-epimerase
glnHb 	b0811 	−1.8 	−2.3 	Periplasmic glutamine-binding protein; permease
cspD 	b0880 	−1.8 	−1.9 	Cold shock protein homolog; stress induced DNA replication inhibitor
clpA 	b0882 	−2 	−2.8 	ATP-binding component of serine protease, chaperone activity
lrp 	b0889 	−3.3 	−2.2 	Regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system
lolAc 	b0891 	−2.1 	−1.9 	Chaperone for lipoproteins; periplasmic protein effects translocation of lipoproteins from inner membrane to outer membrane
ompF 	b0929 	−1.7 	−2.6 	Outer membrane protein 1a (Ia;b;F)
pepNc 	b0932 	−1.8 	−2.5 	Aminopeptidase N
